id,organization,first_name,last_name,category_id,category,business_type,sex,phone_number_1,phone_number_1_organizational_position,phone_number_1_name,phone_number_1_ex,phone_number_1_note,phone_number_2,phone_number_2_name,phone_number_2_organizational_position,phone_number_2_ex,phone_number_2_note,phone_number_3,phone_number_3_name,phone_number_3_organizational_position,phone_number_3_ex,phone_number_3_note,phone_number_4,phone_number_4_name,phone_number_4_organizational_position,phone_number_4_ex,phone_number_4_note,phone_number_5,phone_number_5_name,phone_number_5_organizational_position,phone_number_5_ex,phone_number_5_note,phone_number_6,phone_number_6_name,phone_number_6_organizational_position,phone_number_6_ex,phone_number_6_note,fax,mobile_number_1,mobile_number_1_name,mobile_number_1_note,mobile_number_1_email,mobile_number_2,mobile_number_2_name,mobile_number_2_note,mobile_number_2_email,mobile_number_3,mobile_number_3_name,mobile_number_3_note,mobile_number_3_email,mobile_number_4,mobile_number_4_name,mobile_number_4_note,mobile_number_4_email,province,city,address_1,postal_code_1,address_2,postal_code_2,address_3,postal_code_3,description,customer_id,color,note,created_at,modified_at,owner,latest_editor,latest_editor_log,deleted_data,active
614,,مجتبی,پور مظفر,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09126811170,,,,,,,,,,,,,,,,,,"آدرس 1 (پستی) : :تهران،اسکندری جنوبی شکوفه شرقی پلاک 15واحد 7",1319794658,,,,,,,,,,,,,,,
615,,,پوردرگاه,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09147733212,,,,,,,,,,,,,,,,آذربایجان شرقی,تبریز,ایران آذربایجان شرقی تبریز ,,,,,,,,,,,,,,,,
616,,,پورسفیان,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,56867111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56862333,09125684201,,,,,,,,,,,,,,,,البرز,,"ایران البرز آدرس 1 : تهران، سه راه آدران، خیابان میهن 2، پلاک 15",,,,,,,,,,,,,,,,
617,,,پورمداح,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,012-34333357,,,,,012-34333352,,,,,,,,,,,,,,,,,,,,,,,,,,09122277157,,,,,,,,,,,,,,,,مازندران,بابل,ایران مازندران بابل ,,,,,,,,,,,,,,,,
618,پوشش صنعت الوان,,,, مشتریان صنعت کامپوزیت,تولید کننده مواد اولیه,,44273617,,,,,44469369,,,,,65765767,,,,,65765723,,,,,65765767,,,,,,,,,,44273617,09123236437,,,,,,,,,,,,,,,,تهران تهران,تهران تهران,"ایران تهران تهران آدرس 1(پستی) : تهران، فلکه دوم صادقیه، بلوار اشرفی اصفهانی، نرسیده به مرزداران، روبروی برج نگین رضا، کوی وحدتی، پلاک 47، واحد 3، ساختمان پارسی ایران تهران تهران آدرس 2 : تهران، شهریار،بعد ازکهن،روبروی کشتارگاه قائم،شهرک صنعتی جوانزاد،بعدازنگهبانی،اولین خروجی سمت چپ(یاس)پلاک23",1461733693,,,,,این آدرس پستی میباشد,,,,,,,,,,
619,پوشش کاران,,لطفی,, مشتریان صنعت کامپوزیت,مصرف کننده,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09123239316,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران خیابان شریعتی، بالتر از مطهری، سمت راست، کوچه ناز، پلاک 12، واحد 6",,,,,,,,,,,,,,,,
620,پوشش های صنعتی و دریایی شمال,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,011-342433352,,,,,011-342433357,,,,,,,,,,,,,,,,,,,,,,,,,011-423335259,,,,,,,,,,,,,,,,,مازندران,بابل,"ایران مازندران بابل  خیابان کشاورز، جنب مخابرات، پلاک 100",4717944715,,,,,,,,,,,,,,,
621,پولاد سنگ گلستان,,آنایی,, مشتریان صنعت کامپوزیت,مصرف کننده,,017-32295505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09122460191,,,,,,,,,,,,,,,,گلستان,گنبد کاووس,"ایران گلستان گنبد کاووس خیابان شریعتی، بعد از مبارزان، پلاک 242",,,,,,,,,,,,,,,,
622,پویا پلیمر آذربایجان,,,, مشتریان صنعت کامپوزیت,تولید کننده قطعات فایبرگلاس,, 041-32858122,,,,,88303585,,,,, 041-34402910,,,,, 041-34402912,,,,, 041-32858123,,,,,,,,,,"041-34449175, 041-32858122","09141038717, 09144156757",,,,,,,,,,,,,,,,آذربایجان شرقی,آذرشهر,"آدرس 2 : دفترتهران:خیابان مطهری، خیابان جم، جنب بیمارستان جم، کوچه ماگنولیا، پلاک 15،  واحد 4 ایران آذربایجان شرقی آذرشهر آدرس 1 : آذربایجان شرقی، تبریز، میدان جهاد، روبروی مخابرات، طبقه فوقانی بانک سپه، طبقه دوم، واحد 2",5178663358,,,,,کد اقتصادی 411341744156,,,,,,,,,,
623,,پویا ,شمس,, مشتریان صنعت کامپوزیت,مصرف کننده,,071-32291986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09177038497,,,,,,,,,,,,,,,,فارس,شیراز,"ایران فارس شیراز  خیابان خاک شناسی، کوچه 12، آپارتمان سوم، واحد 1",,,,,,,,,,,,,,,,
624,,,پویایی,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,021-76284060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09370236215,,,,,,,,,,,,,,,,تهران,پردیس,"ایران تهران پردیس شهرک پردیس، فاز 4 ، خیابان بهشت (خیابان مسجد به سمت بالا)، مجتمع نور، دست چپ پلاک 4102 ، واحد 3 ",,,,,,,,,,,,,,,,
625,پویندگان صنعت آریا,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-88637692,,,,,021-88333654,,,,,,,,,,,,,,,,,,,,,,,,,021-88338445,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران خیابان کارگر شمالی، روبروی مرکز قلب، کوچه مجد، پلاک 72، طبقه اول",,,,,,,,,,,,,,,,
626,پویندگان نور اندیشان,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,44477288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران آدرس 1: بزرگراه اشرفی اصفهانی، بالاتر از میدان پونک، نبش خیابان هفتم، مجتمع نوروزی، طبقه دوم،  واحد 6",,,,,,,,,,,,,,,,
627,نورائیان,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,031-32290522,,,,,021-2290522,,,,,031-42696903,,,,,,,,,,,,,,,,,,,,"031-34486164, 021-4486164","09121388387, 09131150873",,,,,,,,,,,,,,,,اصفهان,اصفهان,"ایران اصفهان اصفهان آدرس 1 : اصفهان ، شهرک صنعتی نجف آباد، خیابان دکتر حسابی، فرعی 25 آدرس 2 (پستی ) : اصفهان، خیابان ابن سینا، کوی شماره 18، بن بست قزوینی، پلاک 9",8148878395,,,,,,,,,,,,,,,
628,پیر زاهد,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09132655155,,,,,,,,,,,,,,,,اصفهان,اصفهان,ایران اصفهان اصفهان ,,,,,,,,,,,,,,,,
629,,سعید,پیر محمدی,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09121540974,,,,,,,,,,,,,,,,,,"آدرس 1(پستی) :تهران، خیابان مصطفی خمینی ،چهارراه سرچشمه،پلا ک 760",۱۱۱۷۶۶۶۶۱۶,,,,,,,,,,,,,,,
630,,,پیرانی,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,021-56759433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09122906479,,,,,,,,,,,,,,,,تهران,ساوه,"ایران تهران ساوه جاده ساوه، نسیم شهر، شهرک صنعتی نسیم شهر( خیر آباد) ، قطعه 53",,,,,,,,,,,,,,,,
631,,صباح,پیروزفر,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09188381626,,,,,,,,,,,,,,,,,,"آدرس 1 (پستی) : کرمانشاه ، سر پل ذهاب، میراث فرهنگی، خیابان پارک لاله، کوی شفا، صدرا 28، پلاک 6375",6771675957,,,,,,,,,,,,,,,
632,پیشتاز پلیمر,,کرمانی,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-88541960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021-88541960,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
633,پیشتاز صنعت پارس خرم,,,, مشتریان صنعت کامپوزیت,تولید کننده لوله های کامپوزیتی,, 071-36340519,,,,,071-36340563,,,,,071-36340564,,,,, 071-36340511,,,,,,,,,,,,,,,071-36340564,"09382771290, 09173893853",,,,,,,,,,,,,,,,فارس,شیراز,"آدرس 2 : استان فارس، صفاشهر، به سمت خرمی، پشت فرمانداری، روبروی پمپ بنزین، کیلومتر یک جاده دستجرد، ایران فارس شیراز آدرس 1 : شیراز،  خیابان مالی آباد، جنب بانک اقتصاد نوین، ساختمان اوتانا یک، طبقه 4، واحد 401",7187711749,,,,,,,,,,,,,,,
634,پیشرو تک پارسیان,,,, مشتریان صنعت کامپوزیت,تولید کننده سالید سرفیس,,26121330,,,,,0851-2448484,,,,,88566219,,,,,26119205,,,,,88566249,,,,,,,,,,"43561599, 26760388, 0851-2448485",09121891663,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران آدرس 1 : همدان، ملایر،  شهرک صنعتی شوشاب، خیابان چهارم فرعی، شرکت پیشروتک پارسیان آدرس 2  : تهران، فرمانیه،خیابان دکتر لواسانی، کوچه نیلوفر ، پلاک 2 آدرس 3 (پستی) :تهران، سهروردی شمالی هویزه غربی پلاک 120طبقه5",6571117784 1954644973 1551913631,,,,,,,,,,,,,,,
635,پیشرو ساز پیوند,,,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09203306565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,پیشرو صنعت,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-76217216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09126467332,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران جاده دماوند، شهرک صنعتی خرم دشت، بلوار خرم دشت، بعد از میدان صنعت، کوچه 9 شرقی، پلاک 12 ",1657117899,,,,,,,,,,,,,,,
637,پیشرو کامپوزیت آتیه پارس,,,, مشتریان صنعت کامپوزیت,,,44530099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09124786078,,,,,,,,,,,,,,,,,,"آدرس 1(پستی) : تهران، اکباتان، فاز 2، بلوک 14، ورودی 4، واحد 479",1396614174,,,,,,,,,,,,,,,
638,,,شهماری,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,88591021,,,,,88591024,,,,,,,,,,,,,,,,,,,,,,,,,88591025,09127302600,,,,,,,,,,,,,,,,تهران,تهران,"آدرس 2: جاده قدیم کرج، سه راه شهریار، به سمت شهریار، نرسیده به سعید آباد، شهرک گل گون، خیابان مخابرات پلاک 35 غربی، تلفن 65610823 آدرس 1: تهران، فلکه اول صادقیه، خیابان اسدی، پلاک 25 ،واحد 3 ایران تهران تهران آدرس3 (پستی) : تهران ، شهرک غرب، بلوار دریا، خیابان فخار مقدم، خیابان شهید حافظی، نبش کوچه باران، پلاک 11/9، طبقه 5، واحد 9",1981619391,,,,,,,,,,,,,,,
639,پیشه کیمیا رشد,,,, مشتریان صنعت کامپوزیت,,,65605339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65609164,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران آدرس 1 : تهران، سعادت آباد، خیابان علامه شمالی، کوچه 18 غربی، پلاک 27 ،واحد 24",1997987884,,,,,این آدرس پستی میباشد,,,,,,,,,,
640,,میلاد,پیله کوهی,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09112584391,,,,,,,,,,,,,,,,,,"آدرس 1 : مازندران ، نکا،  خیابان امام حسن، کوچه 7",,,,,,,,,,,,,,,,
641,پیله وران,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,051-35420810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,خراسان رضوی,مشهد,ایران خراسان رضوی مشهد ,,,,,,,,,,,,,,,,
642,,مرجان, پیمان,, مشتریان صنعت کامپوزیت,مصرف کننده,زن,021-22333561,,,,,021-22333563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران  بزرگراه رسالت ، مجیدیه شمالی، بلوار بیژن، میدان بهشتی، خیابان ابوالحسنی، پلاک 18، طبقه چهارم، واحد 15",  1673715846,,,,,,,,,,,,,,,
643,تابان,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,031-32221877,,,,,031-32229242 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اصفهان,اصفهان,"ایران اصفهان اصفهان خیابان چهارباغ خواجو، جنب بانک ملی، ساختمان چاپ اندیشه، طبقه 2",,,,,,,,,,,,,,,,
644,تابلو صنعت توان,,,, مشتریان صنعت کامپوزیت,,,26403460,,,,,086-45253519,,,,,086-45253518,,,,,26403466,,,,,,,,,,,,,,,086-45253515,,,,,,,,,,,,,,,,,,,"آدرس 1 : مرکزی، زرندیه، زرندیه،شهر صنعتی مامونیه آدرس 2 (پستی): تهران،جنب مترو میرداماد، ساختمان رز میرداماد،طبقه سوم ، واحد 309",3941993113 1919913661,,,,,,,,,,,,,,,
645,,,تاجدینی,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,026-34486306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,البرز,کرج,"ایران البرز کرج خیابان فاطمی، خیابان بیستون، کوچه دوم الف(سر کوچه آژانس تاکسی) انتهای کوچه پلاک 18",,,,,,,,,,,,,,,,
646,تارا ریس,,ضیائی ,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-88870756,,,,,021-88870757,,,,,,,,,,,,,,,,,,,,,,,,,021-88870758,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران بلوار آفریقا، بین جهان کودک و پل میر داماد، ساختمان برج نگین، پلاک 88، طبقه اول، واحد 104",,,,,,,,,,,,,,,,
647,,علی,تاری,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09364204537,,,,,,,,,,,,,,,,,,"آدرس 1 : آذربایجان شرقی، تبریز، خیابان بهار ،24 متری فروردین، نبش کوچه معماران،فروشگاه آخارسو",5184754913,,,,,,,,,,,,,,,
648,تاک رزین,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-88211231,,,,,021-88211233,,,,,,,,,,,,,,,,,,,,,,,,,021-88211230,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران آدرس 1 : مرکزی، ساوه،شهر صنعتی کاوه، بلوار آزادی، خیابان دوازدهم، پلاک 24 آدرس 2 : تهران، خیابان ملاصدرا، خیابان شیراز جنوبی، کوچه فلاحی، پلاک 26، طبقه اول، واحد 2 کدپستی:1435813541",3914676314 1435813541,,,,,,,,,,,,,,,
649,,,تاملی,, مشتریان صنعت کامپوزیت,مصرف کننده,,77721825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77291642,09123804952,,,,,,,,,,,,,,,,تهران,تهران,"آدرس 1 منزل : بالاتر از فلکه سوم تهرانپارس، خیابان 198 شرقی، پلاک 35 ، واحد 43 ایران تهران تهران بزرگراه رسالت ، چهارراه مجیدیه به سمت میدان رسالت، بعداز 16 متری اول همایی، پلاک 16 ساختمان سپیدار، طبقه 4، واحد 7",1655758171,,,,,,,,,,,,,,,
650,,,تبریزی,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,021-76262088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09121759377,,,,,,,,,,,,,,,,تهران,جاجرود,"ایران تهران جاجرود چهار کیلومتر بعد ار پلیس راه جاجرود ، منطقه صنعتی کمرد، صنعت شرقی، خیابان نهم روشن، خیابان ارسطو،  پلاک 43 ",,,,,,,,,,,,,,,,
651,,لیدر,تبیانیان,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09123313047,,,,,,,,,,,,,,,,,,"آدرس 1 : تهران، بزرگراه آبشناسان، خیابان کبیری طامه، لاله هشتم، پلاک 10، طبقه اول",1476914381,,,,,,,,,,,,,,,
652,تترا شیمی آریا,,,, مشتریان صنعت کامپوزیت,مصرف کننده,, 086-45260021,,,,,021-65264118,,,,,,,,,,,,,,,,,,,,,,,,,,"09125809003, 09122239362, 09126343700",,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران آدرس 1(پستی) : جاده قدیم تهران ساوه، زاویه، شهرک صنعتی زاویه، خیابان زنبق208، سمت چپ اوین کارخانه",3944194844,,,,,,,,,,,,,,,
653,تجارت بهبود سبلان,,,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09147389564, 09369319751",,,,,,,,,,,,,,,,,,"آدرس 2( پستی ): تهران, کیلومتر15 جاده خاوران, شهرک صنعتی خاوران, سایت چوب فروشان, خیابان راش, پلاک 3829, آقای رجبی آدرس 1 : کیلومتر 35 جاده امام رضا, نبش پلیس راه شریف آباد, شهرک صنعتی شنزار, میدان سوم, خیابان سرخس, پلاک 8",1865178564 3394179699,,,,,,,,,,,,,,,
654,تجارت پویا,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-22237732,,,,,021-7528690,,,,,,,,,,,,,,,,,,,,,,,,,,09121331435,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
655,تجهیز آب جم,,,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09121768481, 09335295453",,,,,,,,,,,,,,,,,,"آدرس 1(پستی) : تهران، انتهای اشرفی اصفهانی ، شهرک نفت ، خیابان معین ، پلاک 7 طبقه 4 واحد 9 جنوبی",4819146981,,,,,,,,,,,,,,,
656,تجهیزات آب جم,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-88681326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021-88584300,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران سعادت آبا د ،بلوار دریا ،خیابان علامه جنوبی ،خیابان 26 شرقی ،حق طلب شرقی ،پلاک 4 ،طبقه 4  ",1997835655,,,,,,,,,,,,,,,
657,تحقیقاتی مهندسی کیمیا سازه رایکا,,,, مشتریان صنعت کامپوزیت,,,77147004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77326206,,,,,,,,,,,,,,,,,,,"آدرس 1(پستی) : تهران، حکیمیه،فاز 1 والفجر، خیابان شقایق، پلاک8، طبقه1، واحد1",1659656441,,,,,,,,,,,,,,,
658,تدبیر گران کیمیا پیشتاز,,,, مشتریان صنعت کامپوزیت,,,021-77456705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"آدرس 1 : تهران، نارمک،خیابان شهید برادران محمد باقری،خیابان شهید محمد ملک لو، پلاک 30 ،طبقه اول",1684945163,,,,,,,,,,,,,,,
659,تدبیرگران تجارت و تکنولوژی 3t,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-77493046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
660,,,ترابی,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,1-66429819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09122023605,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران خیابان انقلاب جمالزاده شمالی نرسیده به چهارراه نصرت پلاک 310,,,,,,,,,,,,,,,,
661,,سعید,ترابی,, مشتریان صنعت کامپوزیت,,مرد,071-32280634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09309890663,,,,,,,,,,,,,,,,فارس,شیراز,"ایران فارس شیراز آدرس 1 :شیراز،  بلوار جهل مقام اداره بازرگانی شرکت تعاونی رفاه گستران نسیم صبح",7146716198,,,,,,,,,,,,,,,
662,,,ترنم,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09151056208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,,,تسلط,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09123587682,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران پایین تر از شهریار، چهار راه ملارد، سمت چپ روستای بیدگنه، پادگان مدرس",,,,,,,,,,,,,,,,
664,تسهیل ماشین صنعت,,,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09121034078,,,,,,,,,,,,,,,,,,"آدرس 1: شهرک صنعتی شمس آباد، بلوار سروستان، بلوار مهستان، انتهای گلسرخ دهم آدرس 2( پستی): تهران، خیابان شهیدبهشتی, خیابان سرافراز,خیابان یکم, پلاک 12 طبقه اول",1834187631 1587615411,,,,,,,,,,,,,,,
665,تعاونی تولیدی 154 افزار کارا ارومیه,,,, مشتریان صنعت کامپوزیت,,,044-33744213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09149416205,,,,,,,,,,,,,,,,,,"آدرس2(پستی): ارومیه، شهرک صنعتی فاز دو، خیابان اول ،پلاک 8 آدرس 1:ارومیه، شهرک صنعتی فاز 2، خیابان صنعتگران یک ،خیابان اول، شرکت افزار کارا،صندوق پستی 739",5735196349,,,,,,,,,,,,,,,
666,تعاونی دانش بنیان دیده بان صنعت فلات پارس,,,, مشتریان صنعت کامپوزیت,,,071-36363402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09376233600,,,,,,,,,,,,,,,,فارس,شیراز,"ایران فارس شیراز آدرس 1 : شیراز، بلوار میرزای شیرازی، جنب صنایع الکترونیک، پردیس، شرکت های دانش بنیان، واحد 102",7188841111,,,,,,,,,,,,,,,
667,تعاونی سنگبران یزد,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09131595685,,,,,,,,,,,,,,,,,,"ایران آدرس 1 : یزد، صفائیه، میدان اطلسی، بلوار شهیدان اشرف، چهارراه جواد الائمه اول خیابان فرساد کوچه سید الشهدا پ7 صندوق پستی : 891951159",8915836678,,,,,,,,,,,,,,,
668,تعاونی مد کند آلو,,,, مشتریان صنعت کامپوزیت,,,076-35335100,,,,,076-35335107,,,,,,,,,,,,,,,,,,,,,,,,,076-35335121,,,,,,,,,,,,,,,,,,,"آدرس 1 :قشم،  شیب دراز، منطقه کندآلو، روبروی جزیره هنگام، شرکت تعاونی شناورسازی مد کندآلو",1955757949,,,,,,,,,,,,,,,
669,,,تقوایی,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09121251918,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
670,,بهنام,تقوی خلجان,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,041-34306333,09148888130,,,,,,,,,,,,,,,,,,"آدرس 1 (پستی): آذربایجان شرقی، تبریز، شهرک خلجان، جنب ایستگاه مینی بوس، لوازم آرایشی بی پروا",5364133888,,,,,,,,,,,,,,,
671,,,تقی دوست,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,013-35544152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09112344496,,,,,,,,,,,,,,,,گیلان,رشت,ایران گیلان رشت ,,,,,,,,,,,,,,,,
672,,,تقی زاده,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد, 076-34451541,,,,,076-34451487,,,,,076-34451488,,,,,,,,,,,,,,,,,,,,076-34451541,09347694035,,,,,,,,,,,,,,,,,,ایران ,,,,,,,,,,,,,,,,
673,تکین مقاوم سازه پیشرفته,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,77422218,,,,,77208127,,,,,,,,,,,,,,,,,,,,,,,,,77491206,,,,,,,,,,,,,,,,,تهران,تهران,"ادرس 2(پستی):تهران،میدان رسالت،خیابان فرجام،خیابان شهیدحسینعلی، پلاک 9 ایران تهران تهران آدرس 1:نارمک، خیابان شهید نادر، جهانشاهی (78)، خیابان شهید اصغر حسینعلی(39)، پلاک 9، طبقه همکف",1681963113 1741953114,,,,,,,,,,,,,,,
674,تلفیق کامپوزیت,,نبی پور,, مشتریان صنعت کامپوزیت,تولید کننده قطعات فایبرگلاس,,021-66949058,,,,,021-66949048,,,,,021-66949059,,,,,,,,,,,,,,,,,,,,,09121143938,,,,,,,,,,,,,,,,تهران,اشتهارد,"ایران تهران اشتهارد شهرک صنعتی اشتهارد،میدان اصلی شهرک،ابن سینا شرقی، قانون یکم، قانون پنجم قطعه 96 د",,,,,,,,,,,,,,,,
675,فروشگاه عدالت,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-88800494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
676,تندیس سازه راگا,,,, مشتریان صنعت کامپوزیت,,,66521224,,,,,66517463,,,,,66054112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"آدرس 1( پستی) : تهران، شادمان، خیابان شادمهر، کوچه فرحزاد، پلاک8، ساختمان پزشکان ستارخان، طبقه سوم ، واحد14 آدرس 2: تهران،ناصر خسرو، کوچه خدابنده لو ،انتهای کوچه جنب مسافرخانه، پلاک 47 ،فروشگاه پلیمر شیمی",1456973991 1116713515,,,,,,,,,,,,,,,
677,تندیس و  پیکره شهریار,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,65642913,,,,,65645089,,,,,65645086,,,,,,,,,,,,,,,,,,,,65642913,09121203010,,,,,,,,,,,,,,,,تهران,شهریار,"ایران تهران شهریار آدرس 1 : شهریار، شهرک امیریه، خیابان شهید رفیعی، پلاک 127 آدرس 2 : کارخانه : شهریار، شهرک امیریه، میدان وحدت، نرسیده به کرد امیر، کوچه المهدی پلاک 12",3351164586,,,,,,,,,,,,,,,
678,توان کیمیا شیمی,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-88505772,,,,,021-88527481,,,,,021-88527482,,,,,,,,,,,,,,,,,,,,021-88505772,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران سهروردی شمالی، خیابان میرزایی، زینعلی غربی، پلاک 138، واحد13    ",1577653578,,,,,,,,,,,,,,,
679,آذین صنعت,,,, مشتریان صنعت کامپوزیت,,,0713-7744258,,,,,89788744,,,,,0713-7744257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"آدرس 1 : فارس، شیراز، همت شمالی، خیابان شهید رمضانی، کوچه 4، ساختمان رز، آدرس 2 (پستی) : فارس، شیراز، شهرک صنعتی بزرگ شیراز، بلوار پژوهش جنوبی، خیابان 307",7187914665 7158184156,,,,,,,,,,,,,,,
680,تورانتو,,ملامد,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-22852935,,,,,021-22852931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
