,Name,Middle Name,Department,Phone,Phone mobile,Account number,Address,Address 1: Address Type,Address 1: City,Address 1: Fax,Address 1: Name,Address 1: Phone,Address 1: Post Office Box,Address 1: Street 1,Address 1: Street 2,Address 1: Street 3,Address 1: Telephone 2,Address 1: Telephone 3,Address 1: UPS Zone,Address 1: UTC Offset,Address 1: ZIP/Postal Code,Address 2,Address 2: Address Type,Address 2: City,Address 2: Country/Region,Address 2: County,Address 2: Fax,Address 2: Name,Address 2: State/Province,Address 2: Street 1,Address 2: Street 2,Address 2: Street 3,Address 2: Telephone 1,Address 2: Telephone 2,Address 2: Telephone 3,Address 2: ZIP/Postal Code,Address 3: Telephone3,Address 3: UPS Zone,Assistant,Assistant Phone,Back Office Customer,Bank account,Bank information,Business Phone 2,Callback Number,card number,chekad account type,chekad account type1,Company Name,Company Phone,Description,Email,Fax,First Name,Hold Sync,Home Phone,Home Phone 2,Last Name,Ledger,Manager,Manager Phone,Marital Status,Marketing Only,Note,Note2,Note3,Note4,Note5,Note6,phon2,phone1,Role,ROO,sex,sheba number,Telephone 3
,,,کارا ماشین گستر,02188884016,,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,سفارش باتری اکسترنال برای نمایشگاه تبلیغات,,021088205,,No,02188886107,0,کارا ماشین گستر,, ,,,No,,,,,,,,,,,آقا,,0
,,,کالیبراسیون-دقت گستر تهران,02144477077,,,"تهران-میدان پونک، بلوار همیلا، خیابان شهید اورک، خیابان چهارم، شماره 2
تهران, تهران",,تهران,,,,," تهران-میدان پونک، بلوار همیلا، خیابان شهید اورک، خیابان چهارم، شماره 2",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,021044438437,,No,02144431227,0214443136,کالیبراسیون-دقت گستر تهران,, ,,,No,,,,,,,,,,,آقا,,02144477078
,,,کامپیوتر رایان مهر,02188805130,,,"تهران-بالاتر از چهار راه طالقانی، مرکز کامپیوتر ایران، طبقه زیر همکف، واحد 503
تهران, تهران",,تهران,,,,," تهران-بالاتر از چهار راه طالقانی، مرکز کامپیوتر ایران، طبقه زیر همکف، واحد 503",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,خرید مانیتور آقای نصیری و ساحل,,0,,No,02188806836,0,کامپیوتر رایان مهر,, ,,,No,,,,,,,,,,,آقا,,0
,,,کانون زبان صبا,02166489028,09125682308,,"تهران، ضلع جنوب شرقی میدان انقلاب، بانک کتاب صبا، پلاک 12",,,,,,,"تهران، ضلع جنوب شرقی میدان انقلاب، بانک کتاب صبا، پلاک 12",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,در روز 96/12/07 آقای سیادت سفارش کتاب دادند.,,0,,No,0,0,کانون زبان صبا,, ,,,No,,,,,,,,,,,آقا,,0
,,,کتاب نمایشگاه,02122748812,,,"تهران-میدان تجریش، خیابان فنا خسرو، ساختمان ملک(پلاک 24)،واحد 8
تهران, تهران",,تهران,,,,," تهران-میدان تجریش، خیابان فنا خسرو، ساختمان ملک(پلاک 24)،واحد 8",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,انجام کارهای چاپ در کتاب نمایشگاه -نشریه پوشش های سطحی,,021022740878,,No,02122748814,0,کتاب نمایشگاه,, ,,,No,,,,,,,,,,,آقا,,02122853680
,,,کنپارس,002188208420(117),,,"آدرس : خیابان ولیعصر، بالاتر از میدان ونک، خیابان خدامی، بن بست لیلا، ساختمان لیلا، طبقه دوم",,,,,,,"آدرس : خیابان ولیعصر، بالاتر از میدان ونک، خیابان خدامی، بن بست لیلا، ساختمان لیلا، طبقه دوم",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,88208420,0,کنپارس,, ,,,No,,,,,,,,,,,آقا,,0 02188203820(110)
,,,کولر آبی آبسال,02177451094,,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,02177455095,0,کولر آبی آبسال,, ,,,No,,,,,,,,,,,آقا,,02177455098
,,,کولرگازی,02123008,,,"تهران-میدان آزادی، بلوار استاد معین، بین طوس و دامپزشکی، خیابان لعل آخر، نبش کوچه رودکی، پلاک 21
تهران, تهران",,تهران,,,,," تهران-میدان آزادی، بلوار استاد معین، بین طوس و دامپزشکی، خیابان لعل آخر، نبش کوچه رودکی، پلاک 21",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,02133316395,02166876118,کولرگازی,, ,,,No,,,,,,,,,,,آقا,,02133331581
,,,گاو صندوق کاوه,02152834,09126119822,,"تهران-میدان فردوسی، ابتدای خیابان شهید سپهبد قرنی، ساختمان کاوه، پلاک 29 و 31
تهران, تهران",,تهران,,,,," تهران-میدان فردوسی، ابتدای خیابان شهید سپهبد قرنی، ساختمان کاوه، پلاک 29 و 31",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,حمل و نقل صندوق دفتر و باز کردن درب صندوق,,0,,No,0,0,گاو صندوق کاوه,, ,,,No,,,,,,,,,,,آقا,,0
,,,گاوصندوق تهران گنج,02133344939,09123432501,,"تهران-پیروزی، خیابان شکوفه، خیابان سیرجان، پلاک 25
تهران, تهران",,تهران,,,,," تهران-پیروزی، خیابان شکوفه، خیابان سیرجان، پلاک 25",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,گاوصندوق تهران گنج,, ,,,No,,,,,,,,,,,آقا,,0
,,,گروه آسیا پلاست,0,"09192333393, 09121976058",,,,,,,,,,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,خرید قوطی جار,,0,,No,033444782,0,گروه آسیا پلاست,, ,,,No,,,,,,,,,,,آقا,,0
,,,گرین پاور,02166918012,,,,,,,,,,,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,گرین پاور,, ,,,No,,,,,,,,,,,آقا,,0
,,,گسترش تجارت فراسو,02188062338,,,"تهران-چهار راه جهان کودک به سمت آرژانتین، پلاک 64، ساختمان 239، طبقه 3 جنوبی، واحد9
تهران, تهران",,تهران,,,,," تهران-چهار راه جهان کودک به سمت آرژانتین، پلاک 64، ساختمان 239، طبقه 3 جنوبی، واحد9",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,ویزای آلمان,,0,,No,0,0,گسترش تجارت فراسو,, ,,,No,,,,,,,,,,,آقا,,0
,,,گلفروشی ویولت,02122840780,,,,,,,,,,,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,گلفروشی ویولت,, ,,,No,,,,,,,,,,,آقا,,0
,,,ماشین های دوخت و برش ایمان,0,09101173265,,"آدرس: خیابان خیام، نرسیده به چهار راه گلوبندک،، مقابل کفش ملی، پاساژ تقی زاده، مغازه چرخ ایمان، پلاک 42",,,,,,,"آدرس: خیابان خیام، نرسیده به چهار راه گلوبندک،، مقابل کفش ملی، پاساژ تقی زاده، مغازه چرخ ایمان، پلاک 42",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,ماشین های دوخت و برش ایمان,, ,,,No,,,,,,,,,,,آقا,,0
,,,مبین نت,02183869999,,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,مبین نت,, ,,,No,,,,,,,,,,,آقا,,0
,,,مترا,02188376015,,,"تهران-کیلومتر 19 جاده قدیم تهران، کرج- شهر قدس، ابتدای بلوار 45 متری انقلاب، بن بست صنعت ، پلاک 9
تهران, تهران",,تهران,,,,," تهران-کیلومتر 19 جاده قدیم تهران، کرج- شهر قدس، ابتدای بلوار 45 متری انقلاب، بن بست صنعت ، پلاک 9",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,آقای مهندس جعفری نیا-داخلی 182,,0,,No,02188376011,02188023667,مترا,, ,,,No,,,,,,,,,,,آقا,,02188376012
,,,مترجم,02188302314,"09122231192, 09124977520, 09038422969",,,,,,,,,,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,گرفتن مترجم چینی برای مهمانان چینی که کنسل شد,,0,,No,0,0,مترجم,, ,,,No,,,,,,,,,,,آقا,,0
,,,مترجم چینی,02188808314,09363988972,,,,,,,,,,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,گرفتن مترجم چینی از این موسسه برای مهمان چینی انجام شد,,0,,No,0,0,مترجم چینی,, ,,,No,,,,,,,,,,,آقا,,0
,,,متیسوئی ایران,02188663770,,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,021088662979,,No,0,0,متیسوئی ایران,, ,,,No,,,,,,,,,,,آقا,,0
,,,مجله بسپار,02177522552,,,"تهران-شریعتی ، پایین تر از بهار شیراز ،بعد از پل عابر پیاده ، اولین کوچه ، سلطانی سمت چپ ، پلاک 2 ، واحد 2 ، ساختمان یاس  
تهران, تهران",,تهران,,,,," تهران-شریعتی ، پایین تر از بهار شیراز ،بعد از پل عابر پیاده ، اولین کوچه ، سلطانی سمت چپ ، پلاک 2 ، واحد 2 ، ساختمان یاس  ",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,داخلی 4  کد اشتراک مجله 4882,,0,,No,02177523553,0,مجله بسپار,, ,,,No,,,,,,,,,,,آقا,,0
,,,مجله چرم و کفش,02177628085,,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,مجله چرم و کفش,, ,,,No,,,,,,,,,,,آقا,,0
,,,مجله سنگ,02188743599,,,"تهران-سید خندان
تهران, تهران",,تهران,,,,, تهران-سید خندان,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,راهنمای سنگ ایران,,0,,No,02188743595,0,مجله سنگ,, ,,,No,,,,,,,,,,,آقا,,0
,,,محک,02122490544,09352203405,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,کد شناسه شیمی پوشش کالا 92990122,,021023501053,,No,02122490545,02123540,محک,, ,,,No,,,,,,,,,,,آقا,,02122195540
,,,مخابرات,02177948200,"09122785770, 09197106606, 09122934482",,,,,,,,,,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,برای خط 5 رقمی دفتر هم نصب و هم درخواست,,0,,No,0,0,مخابرات,, ,,,No,,,,,,,,,,,آقا,,0
,,,مدرسه  یاسمن,02177070320,,,"تهران-تهرانپارس، بین فلکه سوم و چهارم، نبش 210 غربی، پلاک 2، طبقه اول، واحد3
تهران, تهران",,تهران,,,,," تهران-تهرانپارس، بین فلکه سوم و چهارم، نبش 210 غربی، پلاک 2، طبقه اول، واحد3",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,02188712701,0,مدرسه  یاسمن,, ,,,No,,,,,,,,,,,آقا,,0
,,,مرکز تحقیقات صنعتی,0216697600,09133106507,,"اصفهان-اصفهان-
اصفهان, اصفهان",,اصفهان,,,,, اصفهان-اصفهان-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,03116697500,0,مرکز تحقیقات صنعتی,, ,,,No,,,,,,,,,,,آقا,,0
,,,موسسه اندیشه,02166127073,"09122264892, 09124117975",,"تهران-باقرخان، نبش کوچه فرزین، ساختمان یکتا، پلاک 69، طبقه 2، واحد 5
تهران, تهران",,تهران,,,,," تهران-باقرخان، نبش کوچه فرزین، ساختمان یکتا، پلاک 69، طبقه 2، واحد 5",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,شماره حساب 0267-8785-3370-6104 بنام محمد رضا نصیری-بانک ملت,,021066513928,,No,02166558232,0,موسسه اندیشه,, ,,,No,,,,,,,,,,,آقا,,0
,,,موسسه حسابرسی تامین اجتماعی,0,,,"بلوار کشاورز، بعد از بیمارستان پارس، خیابان عبدالله زاده، اتنتهای خیابان، پلاک 37، طبقه 5، گروه 15 بازرسی",,,,,,,"بلوار کشاورز، بعد از بیمارستان پارس، خیابان عبدالله زاده، اتنتهای خیابان، پلاک 37، طبقه 5، گروه 15 بازرسی",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,088964293,,No,0,0,موسسه حسابرسی تامین اجتماعی,, ,,,No,,,,,,,,,,,آقا,,0
,,,موسسه حقوقی پاد,02122254539,,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,موسسه حقوقی پاد,, ,,,No,,,,,,,,,,,آقا,,0
,,,موسسه رئوفیزیک دانشگاه تهران,02188001115,,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,موسسه رئوفیزیک دانشگاه تهران,, ,,,No,,,,,,,,,,,آقا,,0
,,,موسسه طبیعت آسمان شب,02122374267,,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,021022081906,,No,0,0,موسسه طبیعت آسمان شب,, ,,,No,,,,,,,,,,,آقا,,0
,,,موسسه کاریابی,02177418865,09125879024,,,,,,,,,,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,موسسه کاریابی,, ,,,No,,,,,,,,,,,آقا,,0
,,,مهدیران چاپگر,02188866607,,,,,,,,,,,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,مهدیران چاپگر,, ,,,No,,,,,,,,,,,آقا,,0
,,,مهندسین مشاور بهین میتراک,02188739548,,,"تهران- خیابان شهید بهشتی،  خیابان شهید سرافراز ، خیابان هفتم ، پلاک 1، واحد 11
تهران, تهران",,تهران,,,,," تهران- خیابان شهید بهشتی،  خیابان شهید سرافراز ، خیابان هفتم ، پلاک 1، واحد 11",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,تصفیه هوا با فیلتر,,021088739538,,No,0,0,مهندسین مشاور بهین میتراک,, ,,,No,,,,,,,,,,,آقا,,0
,,,میر شجاعی,02177501668,09122393949,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,تلفن سانترال,,0,,No,0,0,میر شجاعی,, ,,,No,,,,,,,,,,,آقا,,0
,,,نانوایی,02177976121,,,,,,,,,,,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,نانوایی,, ,,,No,,,,,,,,,,,آقا,,0
,,,نرم افزار  یگانه آرشیو,0,09359297171,,"تهران-خیابان شریعتی، پایین تر از سراه طالقانی، نبش کوچه مشایخی، ساختمان جواهری، پلاک 2، واحد 25
تهران, تهران",,تهران,,,,," تهران-خیابان شریعتی، پایین تر از سراه طالقانی، نبش کوچه مشایخی، ساختمان جواهری، پلاک 2، واحد 25",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,با خانم توکل قسمت پشتیبانی صحبت شود,,077532290,,No,088948911,077533072,نرم افزار  یگانه آرشیو,, ,,,No,,,,,,,,,,,آقا,,022469490
,,,نرم افزاری پاکچین,02166954372,,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,02166954371,0,نرم افزاری پاکچین,, ,,,No,,,,,,,,,,,آقا,,0
,,,نمایندگی CANON,02166755335,,,"تهران-خیابان جمهوری، نرسیده به پل حافظ، ساختمان آلومینیوم، طبقه 11، واحد 1113
تهران, تهران",,تهران,,,,," تهران-خیابان جمهوری، نرسیده به پل حافظ، ساختمان آلومینیوم، طبقه 11، واحد 1113",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,نمایندگی CANON,, ,,,No,,,,,,,,,,,آقا,,0
,,,نمایندگی LG,02177940889,,,"تهران-نارمک ، خیابان دردشت ، نبش پارک شقایق ، پلاک 2 ، طبقه همکف شرکت ماد ایران 
تهران, تهران",,تهران,,,,," تهران-نارمک ، خیابان دردشت ، نبش پارک شقایق ، پلاک 2 ، طبقه همکف شرکت ماد ایران ",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,نمایندگی LG,, ,,,No,,,,,,,,,,,آقا,,0
,,,نمایندگی اسنوا,0,09121220432,,"تهران-خیابان نامجو ، خیابان سلمان فارسی، پلاک 102
تهران, تهران",,تهران,,,,," تهران-خیابان نامجو ، خیابان سلمان فارسی، پلاک 102",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,خرید قطعه ماشین لباسشویی کارخانه,,0,,No,0,0,نمایندگی اسنوا,, ,,,No,,,,,,,,,,,آقا,,0
,,,نمایندگی پاناسونیک,02166730425,,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,  77512024   در پایتخت  88780825           متفرقه 66730031-2           پاساژ پایتخت   88886972           کامتل 22254858,,021022277722,,No,02166921304,02166591771,نمایندگی پاناسونیک,, ,,,No,,,,,,,,,,,آقا,,02166730426
,,,نمایندگی پرینتر-اچ پی,021229240312,,,"تهران-انتهای بلوار کشاورز، جمالزاده شمالی، روبروی شرکت پست، پلاک 462، طبقه اول
تهران, تهران",,تهران,,,,," تهران-انتهای بلوار کشاورز، جمالزاده شمالی، روبروی شرکت پست، پلاک 462، طبقه اول",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,شماره های که با 22 شروع میشودخدمات پس از فروش است,,0,,No,02122924030,02166591771,نمایندگی پرینتر-اچ پی,, ,,,No,,,,,,,,,,,آقا,,02166921704
,,,نمایندگی پوریا,02177926647,,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,02177904648,0,نمایندگی پوریا,, ,,,No,,,,,,,,,,,آقا,,0
,,,نمایندگی تعمیرات کنود,02177414130,,,"تهران-تهران نو،چهار راه آیت یا نارمک، جنب سینما ماندانا، خیابان بیهقی، پلاک 85
تهران, تهران",,تهران,,,,," تهران-تهران نو،چهار راه آیت یا نارمک، جنب سینما ماندانا، خیابان بیهقی، پلاک 85",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,تعمیر کتری برقی دفتر و تعمیرات مارکهای دیگر را هم انجام میده,,0,,No,0,0,نمایندگی تعمیرات کنود,, ,,,No,,,,,,,,,,,آقا,,0
,,,نمایندگی سونی- دوربین,02166465739,09126095627,,"تهران-خیابان جمهوری، نبش خیابان شیخ هادی، ساختمان هالکو سونی ، طبقه اول، پلاک 842
تهران, تهران",,تهران,,,,," تهران-خیابان جمهوری، نبش خیابان شیخ هادی، ساختمان هالکو سونی ، طبقه اول، پلاک 842",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,02166465677,0,نمایندگی سونی- دوربین,, ,,,No,,,,,,,,,,,آقا,,02177882133
,,,نمایندگی سیم آرا آیفون,02188838400,09125866899,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,آقای رضایی09351206761 برای تعمیر آمد,,0,,No,02133473532,0,نمایندگی سیم آرا آیفون,, ,,,No,,,,,,,,,,,آقا,,0
,,,واگن سازی پارس,02166405105,,,"تهران-طالقانی، نبش خیابان کیوان، شماره 76
تهران, تهران",,تهران,,,,," تهران-طالقانی، نبش خیابان کیوان، شماره 76",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,021066400263,,No,0,0,واگن سازی پارس,, ,,,No,,,,,,,,,,,آقا,,0
,,,هپتاز,02188801254,"09129309499, 09127100856",,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,خرید پرینتر HP 1102 و اسکنر canon 110 09354689399,,0,,No,02177691923,0,هپتاز,, ,,,No,,,,,,,,,,,آقا,,0
,,,هتل پارسیان آزادی,02129112,,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,هتل پارسیان آزادی,, ,,,No,,,,,,,,,,,آقا,,0
,,,هتل جاده ابریشم,02126114255,09394658038,,"تهران-نیاوران، تقاطع کامرانیه، جنب شهر کتاب، روبروی بانک صادرات، پلاک 143
تهران, تهران",,تهران,,,,," تهران-نیاوران، تقاطع کامرانیه، جنب شهر کتاب، روبروی بانک صادرات، پلاک 143",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,02126114236,0,هتل جاده ابریشم,, ,,,No,,,,,,,,,,,آقا,,02126114258
,,,همشهری,02177888777,,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,همشهری,, ,,,No,,,,,,,,,,,آقا,,0
,,,هواپیمایی ماهان,0862086692170,,,,,,,,,,,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,شماره عضویت آقا میثم 103988474 - شماره عضویت خانم صیرفی 103988371,,0,,No,02148381434,02148384848,هواپیمایی ماهان,, ,,,No,,,,,,,,,,,آقا,,0862122871200
,,,یک هدیه,02166490526,,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,بانک ملت-بنام شایان اسفراینی-شماره کارت4460-1259-3379-6104 سفارش کارهای چاپی و تبلیغاتی نمایشگاه,,021089770281,,No,02166960258,0,یک هدیه,, ,,,No,,,,,,,,,,,آقا,,0
,,,عباس شاه علی,0,09192468922,,"حکیمیه تهرانپارس، بلوار بهار، کوچه شهید لیرجانی، لاله 1، پلاک 16، واحد 8",,,,,,,"حکیمیه تهرانپارس، بلوار بهار، کوچه شهید لیرجانی، لاله 1، پلاک 16، واحد 8",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,02177308582,0,عباس شاه علی,, ,,,No,,,,,,,,,,,آقا,,0
,,, KFC,02177135582,,,"تهران-میدان رسالت، خیابان فرجام غربی، بین چهارراه نیروی دریایی و هنگام ، پلاک 1030
تهران, تهران",,تهران,,,,," تهران-میدان رسالت، خیابان فرجام غربی، بین چهارراه نیروی دریایی و هنگام ، پلاک 1030",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0, KFC,, ,,,No,,,,,,,,,,,آقا,,0
,,, بهارک,0,09128031218,,"تهران-طبقه دوم مجتمع تجاری گلبرگ
تهران, تهران",,تهران,,,,, تهران-طبقه دوم مجتمع تجاری گلبرگ,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0, بهارک,, ,,,No,,,,,,,,,,,آقا,,0
,,, پگاه نوین,02122560888,,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,مربوط به خانم ابراهیمی,,0,,No,0,0, پگاه نوین,, ,,,No,,,,,,,,,,,آقا,,0
,,, تابش,02177195841,,,"تهران-دردشت، بالاتر از گلبرگ، روبروی خیابان 70، پلاک 418
تهران, تهران",,تهران,,,,," تهران-دردشت، بالاتر از گلبرگ، روبروی خیابان 70، پلاک 418",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,یعقوبی 09123039945        مرادی   09125863501,,0,,No,0,0, تابش,, ,,,No,,,,,,,,,,,آقا,,0
,,, عطاویچ,02177075531,,,"تهران-بالاتر از فلکه سوم، نبش 214 غربی
تهران, تهران",,تهران,,,,," تهران-بالاتر از فلکه سوم، نبش 214 غربی",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,02177075530,0, عطاویچ,, ,,,No,,,,,,,,,,,آقا,,0
,,, مسکن دردشت,0,09125595147,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0, مسکن دردشت,, ,,,No,,,,,,,,,,,آقا,,0
,,, یالمان,02133119874,,,"تهران-لاله زار جنوبی، پلاک 162
تهران, تهران",,تهران,,,,," تهران-لاله زار جنوبی، پلاک 162",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0, یالمان,, ,,,No,,,,,,,,,,,آقا,,0
,,,آپاچی,02177707575,,,"تهران-فلکه سوم
تهران, تهران",,تهران,,,,, تهران-فلکه سوم,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,آپاچی,, ,,,No,,,,,,,,,,,آقا,,0
,,,آجیل سالوت,02177869267,,,"تهران-بزرگراه رسالت، بین چهارراه تیرانداز و رشید
تهران, تهران",,تهران,,,,," تهران-بزرگراه رسالت، بین چهارراه تیرانداز و رشید",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,آجیل سالوت,, ,,,No,,,,,,,,,,,آقا,,0
,,,آزمایشگاه مهر ایران,02188761915,,,"تهران-سهروردی شمالی، میدان پالیزی قندی، خیابان قندی غربی، کوچه 2،پلاک 2
تهران, تهران",,تهران,,,,," تهران-سهروردی شمالی، میدان پالیزی قندی، خیابان قندی غربی، کوچه 2،پلاک 2",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,02188537217,0,آزمایشگاه مهر ایران,, ,,,No,,,,,,,,,,,آقا,,0
